State,Condition,Measure ID,Measure Name,Score,Footnote,Start Date,End Date
AK,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,,25,10/01/2021,09/30/2022
AK,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,,"25, 26",01/01/2021,12/31/2021
AK,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,,5,01/01/2021,12/31/2021
AK,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,,26,10/01/2021,09/30/2022
AK,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,,"25, 26",10/01/2021,09/30/2022
AK,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AK,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AK,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AK,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AL,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who completed COVID-19 primary vaccination series,,,07/01/2022,09/30/2022
AL,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,,,10/01/2021,03/31/2022
AL,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,,"25, 26",10/01/2021,09/30/2022
AL,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),,"25, 26",10/01/2021,09/30/2022
AL,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),,"25, 26",10/01/2021,09/30/2022
AL,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),,"25, 26",10/01/2021,09/30/2022
AL,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),,"25, 26",10/01/2021,09/30/2022
AL,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,,25,10/01/2021,09/30/2022
AL,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),,25,10/01/2021,09/30/2022
AL,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),,25,10/01/2021,09/30/2022
AL,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),,25,10/01/2021,09/30/2022
AL,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),,25,10/01/2021,09/30/2022
AL,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,,26,10/01/2021,09/30/2022
AL,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,,"25, 26",01/01/2021,12/31/2021
AL,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,,25,10/01/2021,09/30/2022
AL,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,,"25, 26",01/01/2021,12/31/2021
AL,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,,,01/01/2021,12/31/2021
AL,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,,26,10/01/2021,09/30/2022
AL,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,,"25, 26",10/01/2021,09/30/2022
AL,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AL,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AL,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AL,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AR,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who completed COVID-19 primary vaccination series,,,07/01/2022,09/30/2022
AR,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,,,10/01/2021,03/31/2022
AR,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,,"25, 26",10/01/2021,09/30/2022
AR,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),,"25, 26",10/01/2021,09/30/2022
AR,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),,"25, 26",10/01/2021,09/30/2022
AR,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),,"25, 26",10/01/2021,09/30/2022
AR,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),,"25, 26",10/01/2021,09/30/2022
AR,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,,25,10/01/2021,09/30/2022
AR,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),,25,10/01/2021,09/30/2022
AR,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),,25,10/01/2021,09/30/2022
AR,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),,25,10/01/2021,09/30/2022
AR,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),,25,10/01/2021,09/30/2022
AR,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,,26,10/01/2021,09/30/2022
AR,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,,"25, 26",01/01/2021,12/31/2021
AR,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,,25,10/01/2021,09/30/2022
AR,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,,"25, 26",01/01/2021,12/31/2021
AR,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,,5,01/01/2021,12/31/2021
AR,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,,26,10/01/2021,09/30/2022
AR,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,,"25, 26",10/01/2021,09/30/2022
AR,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AR,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AR,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AR,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AS,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who completed COVID-19 primary vaccination series,,5,07/01/2022,09/30/2022
AS,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,,5,10/01/2021,03/31/2022
AS,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,,5,10/01/2021,09/30/2022
AS,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),,5,10/01/2021,09/30/2022
AS,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),,5,10/01/2021,09/30/2022
AS,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),,5,10/01/2021,09/30/2022
AS,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),,5,10/01/2021,09/30/2022
AS,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,,5,10/01/2021,09/30/2022
AS,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),,5,10/01/2021,09/30/2022
AS,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),,5,10/01/2021,09/30/2022
AS,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),,5,10/01/2021,09/30/2022
AS,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),,5,10/01/2021,09/30/2022
AS,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,,5,10/01/2021,09/30/2022
AS,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,,5,01/01/2021,12/31/2021
AS,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,,5,10/01/2021,09/30/2022
AS,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,,5,01/01/2021,12/31/2021
AS,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,,5,01/01/2021,12/31/2021
AS,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,,5,10/01/2021,09/30/2022
AS,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,,5,10/01/2021,09/30/2022
AS,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,,5,10/01/2021,09/30/2022
AS,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,,5,10/01/2021,09/30/2022
AS,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,,5,10/01/2021,09/30/2022
AS,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,,5,10/01/2021,09/30/2022
AZ,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who completed COVID-19 primary vaccination series,,,07/01/2022,09/30/2022
AZ,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,,,10/01/2021,03/31/2022
AZ,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,,"25, 26",10/01/2021,09/30/2022
AZ,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),,"25, 26",10/01/2021,09/30/2022
AZ,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),,"25, 26",10/01/2021,09/30/2022
AZ,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),,"25, 26",10/01/2021,09/30/2022
AZ,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),,"25, 26",10/01/2021,09/30/2022
AZ,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,,25,10/01/2021,09/30/2022
AZ,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),,25,10/01/2021,09/30/2022
AZ,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),,25,10/01/2021,09/30/2022
AZ,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),,25,10/01/2021,09/30/2022
AZ,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),,25,10/01/2021,09/30/2022
AZ,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,,26,10/01/2021,09/30/2022
AZ,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,,"25, 26",01/01/2021,12/31/2021
AZ,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,,25,10/01/2021,09/30/2022
AZ,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,,"25, 26",01/01/2021,12/31/2021
AZ,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,,5,01/01/2021,12/31/2021
AZ,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,,26,10/01/2021,09/30/2022
AZ,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,,"25, 26",10/01/2021,09/30/2022
AZ,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AZ,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AZ,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
AZ,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,,"25, 26",10/01/2021,09/30/2022
CA,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who completed COVID-19 primary vaccination series,,,07/01/2022,09/30/2022
CA,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,,,10/01/2021,03/31/2022
CA,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,,"25, 26",10/01/2021,09/30/2022
CA,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),,"25, 26",10/01/2021,09/30/2022
CA,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),,"25, 26",10/01/2021,09/30/2022
CA,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),,"25, 26",10/01/2021,09/30/2022
CA,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),683.00 ,"25, 26",10/01/2021,09/30/2022
CA,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,660.00 ,25,10/01/2021,09/30/2022
CA,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),652.00 ,25,10/01/2021,09/30/2022
CA,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),593.00 ,25,10/01/2021,09/30/2022
CA,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),554.00 ,25,10/01/2021,09/30/2022
CA,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),508.00 ,25,10/01/2021,09/30/2022
CA,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,503.00 ,26,10/01/2021,09/30/2022
CA,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,501.00 ,"25, 26",01/01/2021,12/31/2021
CA,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,476.00 ,25,10/01/2021,09/30/2022
CA,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,431.00 ,"25, 26",01/01/2021,12/31/2021
CA,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,425.00 ,,01/01/2021,12/31/2021
CA,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,422.00 ,26,10/01/2021,09/30/2022
CA,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,420.00 ,"25, 26",10/01/2021,09/30/2022
CA,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,419.00 ,"25, 26",10/01/2021,09/30/2022
CA,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,414.00 ,"25, 26",10/01/2021,09/30/2022
CA,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,411.00 ,"25, 26",10/01/2021,09/30/2022
CA,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,410.00 ,"25, 26",10/01/2021,09/30/2022
CO,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who completed COVID-19 primary vaccination series,410.00 ,,07/01/2022,09/30/2022
CO,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,406.00 ,,10/01/2021,03/31/2022
CO,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,402.00 ,"25, 26",10/01/2021,09/30/2022
CO,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),402.00 ,"25, 26",10/01/2021,09/30/2022
CO,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),402.00 ,"25, 26",10/01/2021,09/30/2022
CO,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),400.00 ,"25, 26",10/01/2021,09/30/2022
CO,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),400.00 ,"25, 26",10/01/2021,09/30/2022
CO,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,399.00 ,25,10/01/2021,09/30/2022
CO,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),396.00 ,25,10/01/2021,09/30/2022
CO,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),396.00 ,25,10/01/2021,09/30/2022
CO,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),395.00 ,25,10/01/2021,09/30/2022
CO,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),394.00 ,25,10/01/2021,09/30/2022
CO,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,390.00 ,26,10/01/2021,09/30/2022
CO,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,389.00 ,"25, 26",01/01/2021,12/31/2021
CO,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,387.00 ,25,10/01/2021,09/30/2022
CO,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,378.00 ,"25, 26",01/01/2021,12/31/2021
CO,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,374.00 ,5,01/01/2021,12/31/2021
CO,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,372.00 ,26,10/01/2021,09/30/2022
CO,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,371.00 ,"25, 26",10/01/2021,09/30/2022
CO,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,370.00 ,"25, 26",10/01/2021,09/30/2022
CO,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,368.00 ,"25, 26",10/01/2021,09/30/2022
CO,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,366.00 ,"25, 26",10/01/2021,09/30/2022
CO,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,366.00 ,"25, 26",10/01/2021,09/30/2022
CT,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who completed COVID-19 primary vaccination series,366.00 ,,07/01/2022,09/30/2022
CT,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,362.00 ,,10/01/2021,03/31/2022
CT,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,362.00 ,"25, 26",10/01/2021,09/30/2022
CT,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),362.00 ,"25, 26",10/01/2021,09/30/2022
CT,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),361.00 ,"25, 26",10/01/2021,09/30/2022
CT,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),357.00 ,"25, 26",10/01/2021,09/30/2022
CT,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),356.00 ,"25, 26",10/01/2021,09/30/2022
CT,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,356.00 ,25,10/01/2021,09/30/2022
CT,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),355.00 ,25,10/01/2021,09/30/2022
CT,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),355.00 ,25,10/01/2021,09/30/2022
CT,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),352.00 ,25,10/01/2021,09/30/2022
CT,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),351.00 ,25,10/01/2021,09/30/2022
CT,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,350.00 ,26,10/01/2021,09/30/2022
