State,Measure ID,Measure Name,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Start Date,End Date
NC,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,81.00 ,4.00 ,,,07/01/2019,06/30/2021
NH,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,11.00 ,2.00 ,,,07/01/2019,06/30/2021
PR,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,1.00 ,0.00 ,,,07/01/2019,06/30/2021
RI,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,11.00 ,0.00 ,,,07/01/2019,06/30/2021
SD,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,16.00 ,1.00 ,,,07/01/2019,06/30/2021
UT,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,31.00 ,1.00 ,,,07/01/2019,06/30/2021
VT,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,7.00 ,0.00 ,,,07/01/2019,06/30/2021
WI,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,66.00 ,1.00 ,,,07/01/2019,06/30/2021
WY,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,11.00 ,0.00 ,,,07/01/2019,06/30/2021
TX,MORT_30_COPD,Death rate for COPD patients,0.00 ,161.00 ,2.00 ,174.00 ,,07/01/2019,06/30/2022
TX,MORT_30_STK,Death rate for stroke patients,3.00 ,142.00 ,4.00 ,139.00 ,,07/01/2019,06/30/2022
CA,MORT_30_AMI,Death rate for heart attack patients,2.00 ,159.00 ,3.00 ,137.00 ,,07/01/2019,06/30/2022
TX,MORT_30_HF,Death rate for heart failure patients,3.00 ,187.00 ,21.00 ,134.00 ,,07/01/2019,06/30/2022
CA,PSI_04,Death rate among surgical inpatients with serious treatable complications,1.00 ,130.00 ,4.00 ,130.00 ,,07/01/2019,06/30/2021
CA,MORT_30_COPD,Death rate for COPD patients,1.00 ,191.00 ,2.00 ,124.00 ,,07/01/2019,06/30/2022
TX,MORT_30_AMI,Death rate for heart attack patients,1.00 ,158.00 ,0.00 ,115.00 ,,07/01/2019,06/30/2022
TX,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1.00 ,145.00 ,1.00 ,113.00 ,,04/01/2019,03/31/2022
TX,MORT_30_PN,Death rate for pneumonia patients,4.00 ,233.00 ,16.00 ,104.00 ,,07/01/2019,06/30/2022
CA,MORT_30_STK,Death rate for stroke patients,2.00 ,186.00 ,11.00 ,103.00 ,,07/01/2019,06/30/2022
CA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,163.00 ,2.00 ,96.00 ,,04/01/2019,03/31/2022
MN,MORT_30_COPD,Death rate for COPD patients,0.00 ,26.00 ,0.00 ,95.00 ,,07/01/2019,06/30/2022
KS,MORT_30_STK,Death rate for stroke patients,1.00 ,20.00 ,1.00 ,91.00 ,,07/01/2019,06/30/2022
TX,PSI_04,Death rate among surgical inpatients with serious treatable complications,2.00 ,109.00 ,4.00 ,89.00 ,,07/01/2019,06/30/2021
IA,MORT_30_AMI,Death rate for heart attack patients,1.00 ,22.00 ,0.00 ,86.00 ,,07/01/2019,06/30/2022
IA,MORT_30_STK,Death rate for stroke patients,0.00 ,27.00 ,0.00 ,85.00 ,,07/01/2019,06/30/2022
KS,MORT_30_COPD,Death rate for COPD patients,0.00 ,37.00 ,0.00 ,85.00 ,,07/01/2019,06/30/2022
IA,MORT_30_COPD,Death rate for COPD patients,0.00 ,33.00 ,0.00 ,84.00 ,,07/01/2019,06/30/2022
MN,MORT_30_STK,Death rate for stroke patients,0.00 ,25.00 ,2.00 ,83.00 ,,07/01/2019,06/30/2022
MN,MORT_30_AMI,Death rate for heart attack patients,0.00 ,19.00 ,2.00 ,80.00 ,,07/01/2019,06/30/2022
IL,MORT_30_STK,Death rate for stroke patients,0.00 ,82.00 ,9.00 ,74.00 ,,07/01/2019,06/30/2022
KS,MORT_30_HF,Death rate for heart failure patients,1.00 ,49.00 ,2.00 ,72.00 ,,07/01/2019,06/30/2022
IL,MORT_30_AMI,Death rate for heart attack patients,0.00 ,90.00 ,0.00 ,72.00 ,,07/01/2019,06/30/2022
WI,MORT_30_AMI,Death rate for heart attack patients,0.00 ,39.00 ,1.00 ,72.00 ,,07/01/2019,06/30/2022
KS,MORT_30_AMI,Death rate for heart attack patients,0.00 ,22.00 ,1.00 ,71.00 ,,07/01/2019,06/30/2022
MN,MORT_30_HF,Death rate for heart failure patients,0.00 ,46.00 ,7.00 ,70.00 ,,07/01/2019,06/30/2022
NY,MORT_30_AMI,Death rate for heart attack patients,0.00 ,86.00 ,3.00 ,68.00 ,,07/01/2019,06/30/2022
CA,MORT_30_HF,Death rate for heart failure patients,6.00 ,221.00 ,27.00 ,66.00 ,,07/01/2019,06/30/2022
WI,MORT_30_STK,Death rate for stroke patients,0.00 ,49.00 ,0.00 ,66.00 ,,07/01/2019,06/30/2022
WI,MORT_30_COPD,Death rate for COPD patients,0.00 ,60.00 ,0.00 ,65.00 ,,07/01/2019,06/30/2022
NY,PSI_04,Death rate among surgical inpatients with serious treatable complications,3.00 ,61.00 ,1.00 ,64.00 ,,07/01/2019,06/30/2021
MN,MORT_30_PN,Death rate for pneumonia patients,0.00 ,57.00 ,5.00 ,64.00 ,,07/01/2019,06/30/2022
IA,MORT_30_HF,Death rate for heart failure patients,6.00 ,49.00 ,0.00 ,62.00 ,,07/01/2019,06/30/2022
OK,MORT_30_COPD,Death rate for COPD patients,2.00 ,46.00 ,0.00 ,62.00 ,,07/01/2019,06/30/2022
OH,MORT_30_AMI,Death rate for heart attack patients,1.00 ,78.00 ,1.00 ,61.00 ,,07/01/2019,06/30/2022
MI,MORT_30_AMI,Death rate for heart attack patients,0.00 ,54.00 ,0.00 ,61.00 ,,07/01/2019,06/30/2022
NE,MORT_30_COPD,Death rate for COPD patients,1.00 ,22.00 ,0.00 ,58.00 ,,07/01/2019,06/30/2022
OH,MORT_30_STK,Death rate for stroke patients,1.00 ,77.00 ,5.00 ,57.00 ,,07/01/2019,06/30/2022
NE,MORT_30_STK,Death rate for stroke patients,0.00 ,16.00 ,0.00 ,57.00 ,,07/01/2019,06/30/2022
OH,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,87.00 ,1.00 ,57.00 ,,04/01/2019,03/31/2022
PA,MORT_30_AMI,Death rate for heart attack patients,0.00 ,92.00 ,0.00 ,57.00 ,,07/01/2019,06/30/2022
PA,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,57.00 ,1.00 ,57.00 ,,07/01/2019,06/30/2021
CA,MORT_30_PN,Death rate for pneumonia patients,7.00 ,229.00 ,32.00 ,56.00 ,,07/01/2019,06/30/2022
OH,PSI_04,Death rate among surgical inpatients with serious treatable complications,1.00 ,50.00 ,0.00 ,56.00 ,,07/01/2019,06/30/2021
IN,MORT_30_AMI,Death rate for heart attack patients,0.00 ,50.00 ,0.00 ,56.00 ,,07/01/2019,06/30/2022
OK,MORT_30_STK,Death rate for stroke patients,2.00 ,28.00 ,2.00 ,55.00 ,,07/01/2019,06/30/2022
FL,PSI_04,Death rate among surgical inpatients with serious treatable complications,1.00 ,102.00 ,6.00 ,54.00 ,,07/01/2019,06/30/2021
GA,MORT_30_COPD,Death rate for COPD patients,0.00 ,77.00 ,0.00 ,54.00 ,,07/01/2019,06/30/2022
KY,MORT_30_STK,Death rate for stroke patients,2.00 ,32.00 ,0.00 ,53.00 ,,07/01/2019,06/30/2022
IL,MORT_30_COPD,Death rate for COPD patients,0.00 ,121.00 ,5.00 ,53.00 ,,07/01/2019,06/30/2022
OK,MORT_30_HF,Death rate for heart failure patients,3.00 ,53.00 ,1.00 ,52.00 ,,07/01/2019,06/30/2022
LA,MORT_30_STK,Death rate for stroke patients,1.00 ,31.00 ,0.00 ,52.00 ,,07/01/2019,06/30/2022
NE,MORT_30_HF,Death rate for heart failure patients,1.00 ,29.00 ,2.00 ,52.00 ,,07/01/2019,06/30/2022
LA,MORT_30_AMI,Death rate for heart attack patients,1.00 ,33.00 ,0.00 ,50.00 ,,07/01/2019,06/30/2022
GA,MORT_30_AMI,Death rate for heart attack patients,0.00 ,58.00 ,1.00 ,50.00 ,,07/01/2019,06/30/2022
MS,MORT_30_COPD,Death rate for COPD patients,3.00 ,36.00 ,0.00 ,49.00 ,,07/01/2019,06/30/2022
PA,MORT_30_COPD,Death rate for COPD patients,1.00 ,108.00 ,0.00 ,49.00 ,,07/01/2019,06/30/2022
CO,MORT_30_COPD,Death rate for COPD patients,0.00 ,32.00 ,0.00 ,49.00 ,,07/01/2019,06/30/2022
IL,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,63.00 ,1.00 ,48.00 ,,07/01/2019,06/30/2021
LA,MORT_30_COPD,Death rate for COPD patients,0.00 ,48.00 ,0.00 ,48.00 ,,07/01/2019,06/30/2022
GA,MORT_30_STK,Death rate for stroke patients,2.00 ,62.00 ,0.00 ,47.00 ,,07/01/2019,06/30/2022
NY,MORT_30_STK,Death rate for stroke patients,1.00 ,89.00 ,10.00 ,47.00 ,,07/01/2019,06/30/2022
PA,MORT_30_STK,Death rate for stroke patients,1.00 ,90.00 ,6.00 ,47.00 ,,07/01/2019,06/30/2022
TN,MORT_30_AMI,Death rate for heart attack patients,0.00 ,41.00 ,0.00 ,47.00 ,,07/01/2019,06/30/2022
TX,PSI_14,Postoperative wound dehiscence rate,0.00 ,216.00 ,0.00 ,47.00 ,,07/01/2019,06/30/2021
CA,PSI_13,Postoperative sepsis rate,7.00 ,225.00 ,0.00 ,46.00 ,,07/01/2019,06/30/2021
IL,MORT_30_HF,Death rate for heart failure patients,2.00 ,112.00 ,20.00 ,46.00 ,,07/01/2019,06/30/2022
AL,MORT_30_AMI,Death rate for heart attack patients,1.00 ,28.00 ,0.00 ,46.00 ,,07/01/2019,06/30/2022
MS,MORT_30_STK,Death rate for stroke patients,1.00 ,22.00 ,2.00 ,46.00 ,,07/01/2019,06/30/2022
NC,MORT_30_AMI,Death rate for heart attack patients,1.00 ,52.00 ,2.00 ,46.00 ,,07/01/2019,06/30/2022
NE,MORT_30_AMI,Death rate for heart attack patients,0.00 ,17.00 ,0.00 ,46.00 ,,07/01/2019,06/30/2022
SD,MORT_30_COPD,Death rate for COPD patients,0.00 ,10.00 ,0.00 ,46.00 ,,07/01/2019,06/30/2022
WI,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,57.00 ,0.00 ,46.00 ,,04/01/2019,03/31/2022
GA,MORT_30_HF,Death rate for heart failure patients,3.00 ,78.00 ,3.00 ,45.00 ,,07/01/2019,06/30/2022
IL,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1.00 ,91.00 ,0.00 ,45.00 ,,04/01/2019,03/31/2022
MO,MORT_30_STK,Death rate for stroke patients,0.00 ,45.00 ,2.00 ,45.00 ,,07/01/2019,06/30/2022
NY,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,89.00 ,3.00 ,45.00 ,,04/01/2019,03/31/2022
IN,MORT_30_STK,Death rate for stroke patients,1.00 ,58.00 ,0.00 ,44.00 ,,07/01/2019,06/30/2022
TX,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,234.00 ,0.00 ,44.00 ,,07/01/2019,06/30/2021
KS,MORT_30_PN,Death rate for pneumonia patients,4.00 ,79.00 ,2.00 ,43.00 ,,07/01/2019,06/30/2022
TN,MORT_30_STK,Death rate for stroke patients,3.00 ,43.00 ,0.00 ,43.00 ,,07/01/2019,06/30/2022
KY,MORT_30_AMI,Death rate for heart attack patients,1.00 ,35.00 ,0.00 ,43.00 ,,07/01/2019,06/30/2022
IA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,34.00 ,0.00 ,43.00 ,,04/01/2019,03/31/2022
MT,MORT_30_COPD,Death rate for COPD patients,0.00 ,15.00 ,0.00 ,43.00 ,,07/01/2019,06/30/2022
NC,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,34.00 ,0.00 ,43.00 ,,07/01/2019,06/30/2021
CA,PSI_11,Postoperative respiratory failure rate,10.00 ,222.00 ,4.00 ,42.00 ,,07/01/2019,06/30/2021
AL,MORT_30_STK,Death rate for stroke patients,1.00 ,36.00 ,0.00 ,42.00 ,,07/01/2019,06/30/2022
GA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,42.00 ,0.00 ,42.00 ,,04/01/2019,03/31/2022
MO,MORT_30_AMI,Death rate for heart attack patients,0.00 ,50.00 ,0.00 ,42.00 ,,07/01/2019,06/30/2022
PR,MORT_30_STK,Death rate for stroke patients,0.00 ,3.00 ,0.00 ,42.00 ,,07/01/2019,06/30/2022
CA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1.00 ,235.00 ,0.00 ,41.00 ,,07/01/2019,06/30/2021
MI,MORT_30_STK,Death rate for stroke patients,0.00 ,69.00 ,0.00 ,41.00 ,,07/01/2019,06/30/2022
AR,MORT_30_STK,Death rate for stroke patients,4.00 ,24.00 ,0.00 ,40.00 ,,07/01/2019,06/30/2022
WA,MORT_30_COPD,Death rate for COPD patients,1.00 ,46.00 ,0.00 ,40.00 ,,07/01/2019,06/30/2022
FL,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,124.00 ,1.00 ,40.00 ,,04/01/2019,03/31/2022
SD,MORT_30_HF,Death rate for heart failure patients,0.00 ,17.00 ,0.00 ,40.00 ,,07/01/2019,06/30/2022
CO,MORT_30_STK,Death rate for stroke patients,1.00 ,29.00 ,1.00 ,39.00 ,,07/01/2019,06/30/2022
LA,MORT_30_HF,Death rate for heart failure patients,1.00 ,56.00 ,2.00 ,39.00 ,,07/01/2019,06/30/2022
OK,MORT_30_AMI,Death rate for heart attack patients,1.00 ,28.00 ,0.00 ,39.00 ,,07/01/2019,06/30/2022
WA,MORT_30_AMI,Death rate for heart attack patients,1.00 ,38.00 ,0.00 ,39.00 ,,07/01/2019,06/30/2022
MN,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,46.00 ,0.00 ,39.00 ,,04/01/2019,03/31/2022
PR,MORT_30_AMI,Death rate for heart attack patients,0.00 ,7.00 ,0.00 ,39.00 ,,07/01/2019,06/30/2022
PR,MORT_30_HF,Death rate for heart failure patients,0.00 ,5.00 ,1.00 ,39.00 ,,07/01/2019,06/30/2022
WA,MORT_30_STK,Death rate for stroke patients,0.00 ,45.00 ,1.00 ,39.00 ,,07/01/2019,06/30/2022
MS,MORT_30_HF,Death rate for heart failure patients,5.00 ,45.00 ,0.00 ,38.00 ,,07/01/2019,06/30/2022
PR,MORT_30_PN,Death rate for pneumonia patients,1.00 ,8.00 ,0.00 ,38.00 ,,07/01/2019,06/30/2022
PA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,104.00 ,2.00 ,38.00 ,,04/01/2019,03/31/2022
AL,MORT_30_COPD,Death rate for COPD patients,1.00 ,49.00 ,0.00 ,37.00 ,,07/01/2019,06/30/2022
FL,MORT_30_AMI,Death rate for heart attack patients,1.00 ,140.00 ,1.00 ,37.00 ,,07/01/2019,06/30/2022
MI,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,72.00 ,0.00 ,37.00 ,,04/01/2019,03/31/2022
TX,PSI_11,Postoperative respiratory failure rate,10.00 ,212.00 ,1.00 ,36.00 ,,07/01/2019,06/30/2021
MT,MORT_30_PN,Death rate for pneumonia patients,2.00 ,22.00 ,0.00 ,36.00 ,,07/01/2019,06/30/2022
TX,PSI_10,Postoperative acute kidney injury requiring dialysis rate,2.00 ,221.00 ,0.00 ,36.00 ,,07/01/2019,06/30/2021
CO,MORT_30_HF,Death rate for heart failure patients,1.00 ,43.00 ,1.00 ,36.00 ,,07/01/2019,06/30/2022
MS,MORT_30_AMI,Death rate for heart attack patients,1.00 ,23.00 ,0.00 ,36.00 ,,07/01/2019,06/30/2022
CA,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,83.00 ,0.00 ,36.00 ,,07/01/2019,06/30/2022
PR,MORT_30_COPD,Death rate for COPD patients,0.00 ,2.00 ,0.00 ,36.00 ,,07/01/2019,06/30/2022
SD,MORT_30_AMI,Death rate for heart attack patients,0.00 ,6.00 ,0.00 ,36.00 ,,07/01/2019,06/30/2022
UT,MORT_30_COPD,Death rate for COPD patients,0.00 ,7.00 ,0.00 ,36.00 ,,07/01/2019,06/30/2022
MT,MORT_30_HF,Death rate for heart failure patients,3.00 ,16.00 ,0.00 ,35.00 ,,07/01/2019,06/30/2022
MO,MORT_30_COPD,Death rate for COPD patients,1.00 ,70.00 ,0.00 ,35.00 ,,07/01/2019,06/30/2022
WI,MORT_30_PN,Death rate for pneumonia patients,1.00 ,86.00 ,3.00 ,35.00 ,,07/01/2019,06/30/2022
AR,MORT_30_AMI,Death rate for heart attack patients,0.00 ,26.00 ,0.00 ,35.00 ,,07/01/2019,06/30/2022
AR,MORT_30_COPD,Death rate for COPD patients,0.00 ,39.00 ,0.00 ,35.00 ,,07/01/2019,06/30/2022
CO,MORT_30_AMI,Death rate for heart attack patients,0.00 ,31.00 ,0.00 ,35.00 ,,07/01/2019,06/30/2022
IN,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,58.00 ,0.00 ,35.00 ,,04/01/2019,03/31/2022
NE,MORT_30_PN,Death rate for pneumonia patients,0.00 ,48.00 ,2.00 ,35.00 ,,07/01/2019,06/30/2022
OH,MORT_30_COPD,Death rate for COPD patients,0.00 ,117.00 ,0.00 ,35.00 ,,07/01/2019,06/30/2022
SD,MORT_30_STK,Death rate for stroke patients,0.00 ,7.00 ,0.00 ,35.00 ,,07/01/2019,06/30/2022
WI,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,24.00 ,0.00 ,35.00 ,,07/01/2019,06/30/2021
WI,MORT_30_HF,Death rate for heart failure patients,4.00 ,83.00 ,3.00 ,34.00 ,,07/01/2019,06/30/2022
OK,MORT_30_PN,Death rate for pneumonia patients,3.00 ,73.00 ,2.00 ,34.00 ,,07/01/2019,06/30/2022
TN,MORT_30_COPD,Death rate for COPD patients,2.00 ,63.00 ,1.00 ,34.00 ,,07/01/2019,06/30/2022
CO,MORT_30_PN,Death rate for pneumonia patients,0.00 ,43.00 ,6.00 ,34.00 ,,07/01/2019,06/30/2022
MI,MORT_30_COPD,Death rate for COPD patients,0.00 ,87.00 ,2.00 ,34.00 ,,07/01/2019,06/30/2022
TX,PSI_13,Postoperative sepsis rate,0.00 ,217.00 ,2.00 ,34.00 ,,07/01/2019,06/30/2021
FL,MORT_30_STK,Death rate for stroke patients,3.00 ,130.00 ,5.00 ,33.00 ,,07/01/2019,06/30/2022
AZ,MORT_30_COPD,Death rate for COPD patients,0.00 ,44.00 ,0.00 ,33.00 ,,07/01/2019,06/30/2022
KY,MORT_30_COPD,Death rate for COPD patients,0.00 ,59.00 ,0.00 ,33.00 ,,07/01/2019,06/30/2022
LA,MORT_30_PN,Death rate for pneumonia patients,4.00 ,66.00 ,1.00 ,32.00 ,,07/01/2019,06/30/2022
IN,MORT_30_COPD,Death rate for COPD patients,1.00 ,78.00 ,1.00 ,32.00 ,,07/01/2019,06/30/2022
NY,MORT_30_COPD,Death rate for COPD patients,1.00 ,127.00 ,5.00 ,32.00 ,,07/01/2019,06/30/2022
MT,MORT_30_STK,Death rate for stroke patients,0.00 ,10.00 ,0.00 ,32.00 ,,07/01/2019,06/30/2022
ND,MORT_30_COPD,Death rate for COPD patients,0.00 ,9.00 ,0.00 ,32.00 ,,07/01/2019,06/30/2022
OR,MORT_30_COPD,Death rate for COPD patients,0.00 ,28.00 ,0.00 ,32.00 ,,07/01/2019,06/30/2022
SD,MORT_30_PN,Death rate for pneumonia patients,0.00 ,25.00 ,0.00 ,32.00 ,,07/01/2019,06/30/2022
MO,MORT_30_HF,Death rate for heart failure patients,4.00 ,67.00 ,5.00 ,31.00 ,,07/01/2019,06/30/2022
OR,MORT_30_AMI,Death rate for heart attack patients,1.00 ,22.00 ,0.00 ,31.00 ,,07/01/2019,06/30/2022
ND,MORT_30_HF,Death rate for heart failure patients,0.00 ,11.00 ,1.00 ,31.00 ,,07/01/2019,06/30/2022
UT,MORT_30_STK,Death rate for stroke patients,0.00 ,10.00 ,0.00 ,31.00 ,,07/01/2019,06/30/2022
WV,MORT_30_AMI,Death rate for heart attack patients,0.00 ,18.00 ,0.00 ,31.00 ,,07/01/2019,06/30/2022
GA,MORT_30_PN,Death rate for pneumonia patients,7.00 ,93.00 ,3.00 ,30.00 ,,07/01/2019,06/30/2022
TN,MORT_30_HF,Death rate for heart failure patients,3.00 ,63.00 ,3.00 ,30.00 ,,07/01/2019,06/30/2022
WA,MORT_30_HF,Death rate for heart failure patients,6.00 ,51.00 ,1.00 ,29.00 ,,07/01/2019,06/30/2022
KY,MORT_30_HF,Death rate for heart failure patients,3.00 ,59.00 ,2.00 ,29.00 ,,07/01/2019,06/30/2022
VA,PSI_04,Death rate among surgical inpatients with serious treatable complications,3.00 ,32.00 ,2.00 ,29.00 ,,07/01/2019,06/30/2021
CO,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,39.00 ,0.00 ,29.00 ,,04/01/2019,03/31/2022
GA,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,47.00 ,1.00 ,29.00 ,,07/01/2019,06/30/2021
LA,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,25.00 ,0.00 ,29.00 ,,07/01/2019,06/30/2021
